None,region_id,region_type,region,zip,state,city,county,community
1023,98573,zip,96040; CA; Redding; Shasta County; Hat Creek,96040,CA,Redding,Shasta County,Hat Creek
1024,98572,zip,96039; CA; Siskiyou County; Happy Camp,96039,CA,Siskiyou County,Happy Camp,
1025,98571,zip,96038; CA; Siskiyou County; Grenada,96038,CA,Siskiyou County,Grenada,
1026,98570,zip,96037; CA; Siskiyou County; Etna,96037,CA,Siskiyou County,Etna,
1028,98569,zip,96035; CA; Red Bluff; Tehama County; Gerber,96035,CA,Red Bluff,Tehama County,Gerber
1029,98568,zip,96034; CA; Siskiyou County; Gazelle,96034,CA,Siskiyou County,Gazelle,
1030,98567,zip,96033; CA; Redding; Shasta County; French Gulch,96033,CA,Redding,Shasta County,French Gulch
1031,98566,zip,96032; CA; Siskiyou County; Fort Jones,96032,CA,Siskiyou County,Fort Jones,
1032,98565,zip,96031; CA; Siskiyou County; Etna,96031,CA,Siskiyou County,Etna,
1033,98564,zip,96029; CA; Red Bluff; Tehama County; Corning,96029,CA,Red Bluff,Tehama County,Corning
1034,98563,zip,96028; CA; Redding; Shasta County; Fall River Mills,96028,CA,Redding,Shasta County,Fall River Mills
1035,98562,zip,96027; CA; Siskiyou County; Etna,96027,CA,Siskiyou County,Etna,
1036,98561,zip,96025; CA; Siskiyou County; Dunsmuir,96025,CA,Siskiyou County,Dunsmuir,
1037,98560,zip,96024; CA; Trinity County; Douglas City,96024,CA,Trinity County,Douglas City,
1038,98559,zip,96023; CA; Siskiyou County; Dorris,96023,CA,Siskiyou County,Dorris,
1039,98558,zip,96022; CA; Red Bluff; Tehama County; Cottonwood,96022,CA,Red Bluff,Tehama County,Cottonwood
1040,98557,zip,96021; CA; Red Bluff; Tehama County; Corning,96021,CA,Red Bluff,Tehama County,Corning
1041,98556,zip,96020; CA; Plumas County; Chester,96020,CA,Plumas County,Chester,
1042,98555,zip,96019; CA; Redding; Shasta County; Shasta Lake,96019,CA,Redding,Shasta County,Shasta Lake
1043,98554,zip,96017; CA; Redding; Shasta County; Castella,96017,CA,Redding,Shasta County,Castella
1044,98553,zip,96016; CA; Redding; Shasta County; Cassel,96016,CA,Redding,Shasta County,Cassel
1045,98552,zip,96015; CA; Modoc County; Canby,96015,CA,Modoc County,Canby,
1046,98551,zip,96014; CA; Siskiyou County; Callahan,96014,CA,Siskiyou County,Callahan,
1047,98550,zip,96013; CA; Redding; Shasta County; Burney,96013,CA,Redding,Shasta County,Burney
1048,98549,zip,96011; CA; Redding; Shasta County; Big Bend,96011,CA,Redding,Shasta County,Big Bend
1049,98548,zip,96010; CA; Trinity County; Big Bar,96010,CA,Trinity County,Big Bar,
1050,98547,zip,96009; CA; Susanville; Lassen County; Bieber,96009,CA,Susanville,Lassen County,Bieber
1051,98546,zip,96008; CA; Redding; Shasta County; Bella Vista,96008,CA,Redding,Shasta County,Bella Vista
1052,98545,zip,96007; CA; Redding; Shasta County; Anderson,96007,CA,Redding,Shasta County,Anderson
1053,98544,zip,96006; CA; Modoc County; Adin,96006,CA,Modoc County,Adin,
1054,98543,zip,96003; CA; Redding; Shasta County,96003,CA,Redding,Shasta County,
1055,98542,zip,96002; CA; Redding; Shasta County,96002,CA,Redding,Shasta County,
1056,98541,zip,96001; CA; Redding; Shasta County,96001,CA,Redding,Shasta County,
1057,98540,zip,95993; CA; Yuba City; Sutter County,95993,CA,Yuba City,Sutter County,
1059,98538,zip,95991; CA; Yuba City; Sutter County,95991,CA,Yuba City,Sutter County,
1060,98537,zip,95988; CA; Glenn County; Willows,95988,CA,Glenn County,Willows,
1061,98536,zip,95987; CA; Colusa County; Williams,95987,CA,Colusa County,Williams,
1062,98535,zip,95986; CA; Truckee-Grass Valley; Nevada County; Washington,95986,CA,Truckee-Grass Valley,Nevada County,Washington
1063,98534,zip,95984; CA; Plumas County; Twain,95984,CA,Plumas County,Twain,
1064,98533,zip,95983; CA; Plumas County; Taylorsville,95983,CA,Plumas County,Taylorsville,
1065,98532,zip,95982; CA; Yuba City; Sutter County; Sutter,95982,CA,Yuba City,Sutter County,Sutter
1066,98531,zip,95981; CA; Plumas County; Strawberry Valley,95981,CA,Plumas County,Strawberry Valley,
1067,98530,zip,95980; CA; Plumas County; Tobin,95980,CA,Plumas County,Tobin,
1068,98529,zip,95979; CA; Colusa County; Stonyford,95979,CA,Colusa County,Stonyford,
1069,98528,zip,95978; CA; Chico; Butte County; Stirling City,95978,CA,Chico,Butte County,Stirling City
1070,98527,zip,95977; CA; Truckee-Grass Valley; Nevada County; Smartsville,95977,CA,Truckee-Grass Valley,Nevada County,Smartsville
1071,98525,zip,95975; CA; Truckee-Grass Valley; Nevada County; Rough and Ready,95975,CA,Truckee-Grass Valley,Nevada County,Rough and Ready
1072,98524,zip,95974; CA; Chico; Butte County; Richvale,95974,CA,Chico,Butte County,Richvale
1073,98523,zip,95973; CA; Chico; Butte County,95973,CA,Chico,Butte County,
1074,98522,zip,95972; CA; Chico; Butte County; Bangor,95972,CA,Chico,Butte County,Bangor
1075,98521,zip,95971; CA; Plumas County; Quincy,95971,CA,Plumas County,Quincy,
1076,98520,zip,95970; CA; Colusa County; Colusa,95970,CA,Colusa County,Colusa,
1078,98519,zip,95969; CA; Chico; Butte County; Paradise,95969,CA,Chico,Butte County,Paradise
1079,98518,zip,95968; CA; Chico; Butte County; Palermo,95968,CA,Chico,Butte County,Palermo
1080,98516,zip,95966; CA; Chico; Butte County; Oroville,95966,CA,Chico,Butte County,Oroville
1081,98515,zip,95965; CA; Chico; Butte County; Oroville,95965,CA,Chico,Butte County,Oroville
1082,98514,zip,95963; CA; Glenn County; Orland,95963,CA,Glenn County,Orland,
1083,98513,zip,95962; CA; Yuba City; Yuba County; Oregon House,95962,CA,Yuba City,Yuba County,Oregon House
1084,98512,zip,95961; CA; Yuba City; Yuba County; Olivehurst,95961,CA,Yuba City,Yuba County,Olivehurst
1085,98511,zip,95960; CA; Truckee-Grass Valley; Nevada County; North San Juan,95960,CA,Truckee-Grass Valley,Nevada County,North San Juan
1086,98510,zip,95959; CA; Truckee-Grass Valley; Nevada County; Nevada City,95959,CA,Truckee-Grass Valley,Nevada County,Nevada City
1087,98509,zip,95958; CA; Chico; Butte County; Nelson,95958,CA,Chico,Butte County,Nelson
1088,98508,zip,95957; CA; Yuba City; Sutter County; Meridian,95957,CA,Yuba City,Sutter County,Meridian
1089,98507,zip,95956; CA; Plumas County; Meadow Valley,95956,CA,Plumas County,Meadow Valley,
1090,98506,zip,95955; CA; Colusa County; Maxwell,95955,CA,Colusa County,Maxwell,
1091,98505,zip,95954; CA; Chico; Butte County; Magalia,95954,CA,Chico,Butte County,Magalia
1092,98504,zip,95953; CA; Yuba City; Sutter County; Live Oak,95953,CA,Yuba City,Sutter County,Live Oak
1093,98503,zip,95951; CA; Glenn County; Hamilton City,95951,CA,Glenn County,Hamilton City,
1094,98502,zip,95950; CA; Colusa County; Grimes,95950,CA,Colusa County,Grimes,
1095,98501,zip,95949; CA; Truckee-Grass Valley; Nevada County; Grass Valley,95949,CA,Truckee-Grass Valley,Nevada County,Grass Valley
1096,98500,zip,95948; CA; Chico; Butte County; Gridley,95948,CA,Chico,Butte County,Gridley
1099,98499,zip,95947; CA; Plumas County; Greenville,95947,CA,Plumas County,Greenville,
1100,98498,zip,95946; CA; Truckee-Grass Valley; Nevada County; Penn Valley,95946,CA,Truckee-Grass Valley,Nevada County,Penn Valley
1101,98497,zip,95945; CA; Truckee-Grass Valley; Nevada County; Grass Valley,95945,CA,Truckee-Grass Valley,Nevada County,Grass Valley
1102,98496,zip,95944; CA; Sierra County; Downieville,95944,CA,Sierra County,Downieville,
1103,98495,zip,95943; CA; Glenn County; Glenn,95943,CA,Glenn County,Glenn,
1104,98494,zip,95942; CA; Chico; Butte County; Forest Ranch,95942,CA,Chico,Butte County,Forest Ranch
1105,98493,zip,95941; CA; Chico; Butte County; Forbestown,95941,CA,Chico,Butte County,Forbestown
1106,98491,zip,95939; CA; Glenn County; Elk Creek,95939,CA,Glenn County,Elk Creek,
1107,98490,zip,95938; CA; Chico; Butte County; Durham,95938,CA,Chico,Butte County,Durham
1108,98489,zip,95937; CA; Colusa County; Arbuckle,95937,CA,Colusa County,Arbuckle,
1109,98488,zip,95936; CA; Sierra County; Downieville,95936,CA,Sierra County,Downieville,
1110,98487,zip,95935; CA; Yuba City; Yuba County; Dobbins,95935,CA,Yuba City,Yuba County,Dobbins
1111,98486,zip,95934; CA; Plumas County; Greenville,95934,CA,Plumas County,Greenville,
1112,98485,zip,95932; CA; Colusa County; Colusa,95932,CA,Colusa County,Colusa,
1113,98484,zip,95930; CA; Chico; Butte County; Clipper Mills,95930,CA,Chico,Butte County,Clipper Mills
1114,98482,zip,95928; CA; Chico; Butte County,95928,CA,Chico,Butte County,
1115,98480,zip,95926; CA; Chico; Butte County,95926,CA,Chico,Butte County,
1117,98479,zip,95925; CA; Chico; Butte County; Forbestown,95925,CA,Chico,Butte County,Forbestown
1118,98477,zip,95923; CA; Plumas County; Canyon Dam,95923,CA,Plumas County,Canyon Dam,
1119,98476,zip,95922; CA; Yuba City; Yuba County; Camptonville,95922,CA,Yuba City,Yuba County,Camptonville
1120,98475,zip,95920; CA; Glenn County; Butte City,95920,CA,Glenn County,Butte City,
1121,98474,zip,95919; CA; Yuba City; Yuba County; Brownsville,95919,CA,Yuba City,Yuba County,Brownsville
1122,98473,zip,95918; CA; Yuba City; Yuba County; Browns Valley,95918,CA,Yuba City,Yuba County,Browns Valley
1123,98472,zip,95917; CA; Chico; Butte County; Biggs,95917,CA,Chico,Butte County,Biggs
1124,98471,zip,95916; CA; Chico; Butte County; Berry Creek,95916,CA,Chico,Butte County,Berry Creek
1125,98469,zip,95914; CA; Chico; Butte County; Bangor,95914,CA,Chico,Butte County,Bangor
1126,98468,zip,95913; CA; Glenn County; Willows,95913,CA,Glenn County,Willows,
1127,98467,zip,95912; CA; Colusa County; Arbuckle,95912,CA,Colusa County,Arbuckle,
1128,98464,zip,95901; CA; Yuba City; Yuba County; Marysville,95901,CA,Yuba City,Yuba County,Marysville
1134,98447,zip,95838; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95838,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1135,98446,zip,95837; CA; Yuba City; Sutter County; Nicolaus,95837,CA,Yuba City,Sutter County,Nicolaus
1139,98441,zip,95832; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95832,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1142,98439,zip,95830; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Elk Grove,95830,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Elk Grove
1143,98438,zip,95829; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95829,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1145,98436,zip,95827; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Rancho Cordova,95827,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Rancho Cordova
1148,98433,zip,95824; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95824,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1155,98427,zip,95818; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95818,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
