None,region_id,region_type,region,zip,state,city,county,community
1475,98087,zip,95301; CA; Merced; Merced County; Atwater,95301,CA,Merced,Merced County,Atwater
1476,98082,zip,95258; CA; Stockton-Lodi; San Joaquin County; Woodbridge,95258,CA,Stockton-Lodi,San Joaquin County,Woodbridge
1477,98081,zip,95257; CA; Calaveras County; Wilseyville,95257,CA,Calaveras County,Wilseyville,
1478,98080,zip,95255; CA; Calaveras County; West Point,95255,CA,Calaveras County,West Point,
1480,98079,zip,95254; CA; Calaveras County; Valley Springs,95254,CA,Calaveras County,Valley Springs,
1481,98078,zip,95253; CA; Stockton-Lodi; San Joaquin County; Lodi,95253,CA,Stockton-Lodi,San Joaquin County,Lodi
1482,98077,zip,95252; CA; Calaveras County; Valley Springs,95252,CA,Calaveras County,Valley Springs,
1483,98076,zip,95251; CA; Calaveras County; Vallecito,95251,CA,Calaveras County,Vallecito,
1484,98074,zip,95249; CA; Calaveras County; San Andreas,95249,CA,Calaveras County,San Andreas,
1485,98073,zip,95248; CA; Calaveras County; Mokelumne Hill,95248,CA,Calaveras County,Mokelumne Hill,
1486,98072,zip,95247; CA; Calaveras County; Murphys,95247,CA,Calaveras County,Murphys,
1487,98071,zip,95246; CA; Calaveras County; Mountain Ranch,95246,CA,Calaveras County,Mountain Ranch,
1488,98070,zip,95245; CA; Calaveras County; Mokelumne Hill,95245,CA,Calaveras County,Mokelumne Hill,
1489,98069,zip,95242; CA; Stockton-Lodi; San Joaquin County; Lodi,95242,CA,Stockton-Lodi,San Joaquin County,Lodi
1490,98067,zip,95240; CA; Stockton-Lodi; San Joaquin County; Lodi,95240,CA,Stockton-Lodi,San Joaquin County,Lodi
1491,98066,zip,95237; CA; Stockton-Lodi; San Joaquin County; Lockeford,95237,CA,Stockton-Lodi,San Joaquin County,Lockeford
1492,98065,zip,95236; CA; Stockton-Lodi; San Joaquin County; Linden,95236,CA,Stockton-Lodi,San Joaquin County,Linden
1493,98063,zip,95233; CA; Calaveras County; Murphys,95233,CA,Calaveras County,Murphys,
1494,98062,zip,95232; CA; Calaveras County; Glencoe,95232,CA,Calaveras County,Glencoe,
1495,98061,zip,95231; CA; Stockton-Lodi; San Joaquin County; French Camp,95231,CA,Stockton-Lodi,San Joaquin County,French Camp
1496,98060,zip,95230; CA; Stockton-Lodi; San Joaquin County; Farmington,95230,CA,Stockton-Lodi,San Joaquin County,Farmington
1497,98059,zip,95229; CA; Calaveras County; Vallecito,95229,CA,Calaveras County,Vallecito,
1498,98058,zip,95228; CA; Calaveras County; Copperopolis,95228,CA,Calaveras County,Copperopolis,
1499,98057,zip,95227; CA; Stockton-Lodi; San Joaquin County; Lockeford,95227,CA,Stockton-Lodi,San Joaquin County,Lockeford
1500,98056,zip,95226; CA; Calaveras County; Valley Springs,95226,CA,Calaveras County,Valley Springs,
1501,98055,zip,95225; CA; Calaveras County; Valley Springs,95225,CA,Calaveras County,Valley Springs,
1502,98054,zip,95224; CA; Calaveras County; Murphys,95224,CA,Calaveras County,Murphys,
1503,98053,zip,95223; CA; Calaveras County; Arnold,95223,CA,Calaveras County,Arnold,
1504,98052,zip,95222; CA; Calaveras County; Murphys,95222,CA,Calaveras County,Murphys,
1505,98050,zip,95220; CA; Stockton-Lodi; San Joaquin County; Acampo,95220,CA,Stockton-Lodi,San Joaquin County,Acampo
1508,98048,zip,95215; CA; Stockton-Lodi; San Joaquin County; Garden Acres,95215,CA,Stockton-Lodi,San Joaquin County,Garden Acres
1509,98046,zip,95212; CA; Stockton-Lodi; San Joaquin County; Stockton,95212,CA,Stockton-Lodi,San Joaquin County,Stockton
1510,98044,zip,95210; CA; Stockton-Lodi; San Joaquin County; Stockton,95210,CA,Stockton-Lodi,San Joaquin County,Stockton
1512,98041,zip,95207; CA; Stockton-Lodi; San Joaquin County; Stockton,95207,CA,Stockton-Lodi,San Joaquin County,Stockton
1513,98040,zip,95206; CA; Stockton-Lodi; San Joaquin County; Stockton,95206,CA,Stockton-Lodi,San Joaquin County,Stockton
1515,98039,zip,95205; CA; Stockton-Lodi; San Joaquin County; Stockton,95205,CA,Stockton-Lodi,San Joaquin County,Stockton
1516,98038,zip,95204; CA; Stockton-Lodi; San Joaquin County; Stockton,95204,CA,Stockton-Lodi,San Joaquin County,Stockton
1517,98037,zip,95203; CA; Stockton-Lodi; San Joaquin County; Stockton,95203,CA,Stockton-Lodi,San Joaquin County,Stockton
1518,98036,zip,95202; CA; Stockton-Lodi; San Joaquin County; Stockton,95202,CA,Stockton-Lodi,San Joaquin County,Stockton
1519,98011,zip,95148; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95148,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1521,98009,zip,95141; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95141,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1522,98008,zip,95140; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; East Foothills,95140,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,East Foothills
1523,98007,zip,95139; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95139,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1524,98006,zip,95138; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95138,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1525,98004,zip,95136; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95136,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1526,98003,zip,95135; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95135,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1528,98001,zip,95133; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95133,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1529,98000,zip,95132; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95132,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1532,97999,zip,95131; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95131,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1537,97994,zip,95126; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95126,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1541,97990,zip,95122; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95122,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1542,97989,zip,95121; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95121,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1544,97987,zip,95119; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95119,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1545,97986,zip,95118; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95118,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1546,97985,zip,95117; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95117,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1547,97984,zip,95116; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95116,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1548,97981,zip,95113; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95113,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1551,97978,zip,95110; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95110,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1552,97970,zip,95076; CA; Santa Cruz-Watsonville; Santa Cruz County; Watsonville,95076,CA,Santa Cruz-Watsonville,Santa Cruz County,Watsonville
1554,97969,zip,95075; CA; San Jose-Sunnyvale-Santa Clara; San Benito County; Hollister,95075,CA,San Jose-Sunnyvale-Santa Clara,San Benito County,Hollister
1555,97968,zip,95073; CA; Santa Cruz-Watsonville; Santa Cruz County; Soquel,95073,CA,Santa Cruz-Watsonville,Santa Cruz County,Soquel
1556,97966,zip,95070; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Saratoga,95070,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Saratoga
1557,97964,zip,95066; CA; Santa Cruz-Watsonville; Santa Cruz County; Scotts Valley,95066,CA,Santa Cruz-Watsonville,Santa Cruz County,Scotts Valley
1558,97963,zip,95065; CA; Santa Cruz-Watsonville; Santa Cruz County; Santa Cruz,95065,CA,Santa Cruz-Watsonville,Santa Cruz County,Santa Cruz
1559,97962,zip,95064; CA; Santa Cruz-Watsonville; Santa Cruz County; Santa Cruz,95064,CA,Santa Cruz-Watsonville,Santa Cruz County,Santa Cruz
1560,97960,zip,95062; CA; Santa Cruz-Watsonville; Santa Cruz County; Santa Cruz,95062,CA,Santa Cruz-Watsonville,Santa Cruz County,Santa Cruz
1561,97958,zip,95060; CA; Santa Cruz-Watsonville; Santa Cruz County; Santa Cruz,95060,CA,Santa Cruz-Watsonville,Santa Cruz County,Santa Cruz
1565,97950,zip,95046; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Martin,95046,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Martin
1566,97949,zip,95045; CA; San Jose-Sunnyvale-Santa Clara; San Benito County; San Juan Bautista,95045,CA,San Jose-Sunnyvale-Santa Clara,San Benito County,San Juan Bautista
1567,97947,zip,95043; CA; San Jose-Sunnyvale-Santa Clara; San Benito County; Paicines,95043,CA,San Jose-Sunnyvale-Santa Clara,San Benito County,Paicines
1568,97945,zip,95041; CA; Santa Cruz-Watsonville; Santa Cruz County; Felton,95041,CA,Santa Cruz-Watsonville,Santa Cruz County,Felton
1569,97944,zip,95039; CA; Salinas; Monterey County; Moss Landing,95039,CA,Salinas,Monterey County,Moss Landing
1572,97939,zip,95033; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Lexington Hills,95033,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Lexington Hills
1573,97938,zip,95032; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Los Gatos,95032,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Los Gatos
1575,97933,zip,95023; CA; San Jose-Sunnyvale-Santa Clara; San Benito County; Hollister,95023,CA,San Jose-Sunnyvale-Santa Clara,San Benito County,Hollister
1577,97930,zip,95019; CA; Santa Cruz-Watsonville; Santa Cruz County; Freedom,95019,CA,Santa Cruz-Watsonville,Santa Cruz County,Freedom
1578,97929,zip,95018; CA; Santa Cruz-Watsonville; Santa Cruz County; Felton,95018,CA,Santa Cruz-Watsonville,Santa Cruz County,Felton
1579,97928,zip,95017; CA; Santa Cruz-Watsonville; Santa Cruz County; Davenport,95017,CA,Santa Cruz-Watsonville,Santa Cruz County,Davenport
1581,97924,zip,95012; CA; Salinas; Monterey County; Castroville,95012,CA,Salinas,Monterey County,Castroville
1582,97922,zip,95010; CA; Santa Cruz-Watsonville; Santa Cruz County; Capitola,95010,CA,Santa Cruz-Watsonville,Santa Cruz County,Capitola
1585,97919,zip,95007; CA; Santa Cruz-Watsonville; Santa Cruz County; Boulder Creek,95007,CA,Santa Cruz-Watsonville,Santa Cruz County,Boulder Creek
1586,97918,zip,95006; CA; Santa Cruz-Watsonville; Santa Cruz County; Boulder Creek,95006,CA,Santa Cruz-Watsonville,Santa Cruz County,Boulder Creek
1587,97917,zip,95005; CA; Santa Cruz-Watsonville; Santa Cruz County; Ben Lomond,95005,CA,Santa Cruz-Watsonville,Santa Cruz County,Ben Lomond
1588,97916,zip,95004; CA; Salinas; Monterey County; Aromas,95004,CA,Salinas,Monterey County,Aromas
1589,97915,zip,95003; CA; Santa Cruz-Watsonville; Santa Cruz County; Aptos,95003,CA,Santa Cruz-Watsonville,Santa Cruz County,Aptos
1590,97914,zip,95002; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; San Jose,95002,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose
1592,97904,zip,94973; CA; San Francisco-Oakland-Hayward; Marin County; Woodacre,94973,CA,San Francisco-Oakland-Hayward,Marin County,Woodacre
1593,97903,zip,94972; CA; Santa Rosa; Sonoma County; Sebastopol,94972,CA,Santa Rosa,Sonoma County,Sebastopol
1594,97902,zip,94971; CA; San Francisco-Oakland-Hayward; Marin County; Tomales,94971,CA,San Francisco-Oakland-Hayward,Marin County,Tomales
1595,97901,zip,94970; CA; San Francisco-Oakland-Hayward; Marin County; Stinson Beach,94970,CA,San Francisco-Oakland-Hayward,Marin County,Stinson Beach
1598,97898,zip,94964; CA; San Francisco-Oakland-Hayward; Marin County; San Quentin,94964,CA,San Francisco-Oakland-Hayward,Marin County,San Quentin
1599,97897,zip,94963; CA; San Francisco-Oakland-Hayward; Marin County; San Geronimo,94963,CA,San Francisco-Oakland-Hayward,Marin County,San Geronimo
1600,97896,zip,94960; CA; San Francisco-Oakland-Hayward; Marin County; San Anselmo,94960,CA,San Francisco-Oakland-Hayward,Marin County,San Anselmo
1601,97895,zip,94957; CA; San Francisco-Oakland-Hayward; Marin County; Ross,94957,CA,San Francisco-Oakland-Hayward,Marin County,Ross
1602,97894,zip,94956; CA; San Francisco-Oakland-Hayward; Marin County; Point Reyes Station,94956,CA,San Francisco-Oakland-Hayward,Marin County,Point Reyes Station
1603,97892,zip,94954; CA; Santa Rosa; Sonoma County; Petaluma,94954,CA,Santa Rosa,Sonoma County,Petaluma
1604,97890,zip,94952; CA; Santa Rosa; Sonoma County; Petaluma,94952,CA,Santa Rosa,Sonoma County,Petaluma
1605,97889,zip,94951; CA; Santa Rosa; Sonoma County; Penngrove,94951,CA,Santa Rosa,Sonoma County,Penngrove
1606,97888,zip,94950; CA; San Francisco-Oakland-Hayward; Marin County; Point Reyes Station,94950,CA,San Francisco-Oakland-Hayward,Marin County,Point Reyes Station
1607,97887,zip,94949; CA; San Francisco-Oakland-Hayward; Marin County; Novato,94949,CA,San Francisco-Oakland-Hayward,Marin County,Novato
1608,97885,zip,94947; CA; San Francisco-Oakland-Hayward; Marin County; Novato,94947,CA,San Francisco-Oakland-Hayward,Marin County,Novato
1609,97884,zip,94946; CA; San Francisco-Oakland-Hayward; Marin County; Nicasio,94946,CA,San Francisco-Oakland-Hayward,Marin County,Nicasio
1610,97883,zip,94945; CA; San Francisco-Oakland-Hayward; Marin County; Novato,94945,CA,San Francisco-Oakland-Hayward,Marin County,Novato
1612,97880,zip,94940; CA; San Francisco-Oakland-Hayward; Marin County; Marshall,94940,CA,San Francisco-Oakland-Hayward,Marin County,Marshall
1614,97879,zip,94939; CA; San Francisco-Oakland-Hayward; Marin County; Larkspur,94939,CA,San Francisco-Oakland-Hayward,Marin County,Larkspur
1615,97878,zip,94938; CA; San Francisco-Oakland-Hayward; Marin County; Lagunitas,94938,CA,San Francisco-Oakland-Hayward,Marin County,Lagunitas
1616,97877,zip,94937; CA; San Francisco-Oakland-Hayward; Marin County; Inverness,94937,CA,San Francisco-Oakland-Hayward,Marin County,Inverness
1617,97876,zip,94933; CA; San Francisco-Oakland-Hayward; Marin County; Lagunitas,94933,CA,San Francisco-Oakland-Hayward,Marin County,Lagunitas
1618,97875,zip,94931; CA; Santa Rosa; Sonoma County; Cotati,94931,CA,Santa Rosa,Sonoma County,Cotati
1619,97874,zip,94930; CA; San Francisco-Oakland-Hayward; Marin County; Fairfax,94930,CA,San Francisco-Oakland-Hayward,Marin County,Fairfax
1620,97873,zip,94929; CA; San Francisco-Oakland-Hayward; Marin County; Dillon Beach,94929,CA,San Francisco-Oakland-Hayward,Marin County,Dillon Beach
1621,97872,zip,94928; CA; Santa Rosa; Sonoma County; Rohnert Park,94928,CA,Santa Rosa,Sonoma County,Rohnert Park
1623,97869,zip,94925; CA; San Francisco-Oakland-Hayward; Marin County; Corte Madera,94925,CA,San Francisco-Oakland-Hayward,Marin County,Corte Madera
1624,97868,zip,94924; CA; San Francisco-Oakland-Hayward; Marin County; Bolinas,94924,CA,San Francisco-Oakland-Hayward,Marin County,Bolinas
1625,97867,zip,94923; CA; Santa Rosa; Sonoma County; Bodega Bay,94923,CA,Santa Rosa,Sonoma County,Bodega Bay
1626,97866,zip,94922; CA; Santa Rosa; Sonoma County; Occidental,94922,CA,Santa Rosa,Sonoma County,Occidental
1628,97860,zip,94904; CA; San Francisco-Oakland-Hayward; Marin County; Kentfield,94904,CA,San Francisco-Oakland-Hayward,Marin County,Kentfield
1629,97859,zip,94903; CA; San Francisco-Oakland-Hayward; Marin County; San Rafael,94903,CA,San Francisco-Oakland-Hayward,Marin County,San Rafael
1631,97852,zip,94806; CA; San Francisco-Oakland-Hayward; Contra Costa County; San Pablo,94806,CA,San Francisco-Oakland-Hayward,Contra Costa County,San Pablo
1632,97851,zip,94805; CA; San Francisco-Oakland-Hayward; Contra Costa County; Richmond,94805,CA,San Francisco-Oakland-Hayward,Contra Costa County,Richmond
1636,97847,zip,94801; CA; San Francisco-Oakland-Hayward; Contra Costa County; Richmond,94801,CA,San Francisco-Oakland-Hayward,Contra Costa County,Richmond
1637,97844,zip,94710; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94710,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1638,97843,zip,94709; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94709,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1639,97842,zip,94708; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94708,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1640,97841,zip,94707; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94707,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1641,97840,zip,94706; CA; San Francisco-Oakland-Hayward; Alameda County; Albany,94706,CA,San Francisco-Oakland-Hayward,Alameda County,Albany
1643,97839,zip,94705; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94705,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1644,97838,zip,94704; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94704,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1646,97836,zip,94702; CA; San Francisco-Oakland-Hayward; Alameda County; Berkeley,94702,CA,San Francisco-Oakland-Hayward,Alameda County,Berkeley
1647,97822,zip,94621; CA; San Francisco-Oakland-Hayward; Alameda County; Oakland,94621,CA,San Francisco-Oakland-Hayward,Alameda County,Oakland
1649,97819,zip,94618; CA; San Francisco-Oakland-Hayward; Alameda County; Oakland,94618,CA,San Francisco-Oakland-Hayward,Alameda County,Oakland
1650,97814,zip,94612; CA; San Francisco-Oakland-Hayward; Alameda County; Oakland,94612,CA,San Francisco-Oakland-Hayward,Alameda County,Oakland
1661,97802,zip,94599; CA; Napa; Napa County; Yountville,94599,CA,Napa,Napa County,Yountville
1667,97798,zip,94595; CA; San Francisco-Oakland-Hayward; Contra Costa County; Walnut Creek,94595,CA,San Francisco-Oakland-Hayward,Contra Costa County,Walnut Creek
1668,97797,zip,94592; CA; Vallejo-Fairfield; Solano County; Vallejo,94592,CA,Vallejo-Fairfield,Solano County,Vallejo
1669,97796,zip,94591; CA; Vallejo-Fairfield; Solano County; Vallejo,94591,CA,Vallejo-Fairfield,Solano County,Vallejo
1670,97795,zip,94590; CA; Vallejo-Fairfield; Solano County; Vallejo,94590,CA,Vallejo-Fairfield,Solano County,Vallejo
1671,97794,zip,94589; CA; Vallejo-Fairfield; Solano County; Vallejo,94589,CA,Vallejo-Fairfield,Solano County,Vallejo
1674,97791,zip,94586; CA; San Francisco-Oakland-Hayward; Alameda County; Sunol,94586,CA,San Francisco-Oakland-Hayward,Alameda County,Sunol
1675,97790,zip,94585; CA; Vallejo-Fairfield; Solano County; Suisun City,94585,CA,Vallejo-Fairfield,Solano County,Suisun City
1678,97786,zip,94580; CA; San Francisco-Oakland-Hayward; Alameda County; San Lorenzo,94580,CA,San Francisco-Oakland-Hayward,Alameda County,San Lorenzo
1679,97785,zip,94579; CA; San Francisco-Oakland-Hayward; Alameda County; San Leandro,94579,CA,San Francisco-Oakland-Hayward,Alameda County,San Leandro
1680,97784,zip,94578; CA; San Francisco-Oakland-Hayward; Alameda County; San Leandro,94578,CA,San Francisco-Oakland-Hayward,Alameda County,San Leandro
1681,97783,zip,94577; CA; San Francisco-Oakland-Hayward; Alameda County; San Leandro,94577,CA,San Francisco-Oakland-Hayward,Alameda County,San Leandro
1682,97782,zip,94576; CA; Napa; Napa County; Deer Park,94576,CA,Napa,Napa County,Deer Park
1683,97780,zip,94574; CA; Napa; Napa County; Saint Helena,94574,CA,Napa,Napa County,Saint Helena
1685,97778,zip,94572; CA; San Francisco-Oakland-Hayward; Contra Costa County; Rodeo,94572,CA,San Francisco-Oakland-Hayward,Contra Costa County,Rodeo
1686,97777,zip,94571; CA; Vallejo-Fairfield; Solano County; Rio Vista,94571,CA,Vallejo-Fairfield,Solano County,Rio Vista
1687,97775,zip,94569; CA; San Francisco-Oakland-Hayward; Contra Costa County; Port Costa,94569,CA,San Francisco-Oakland-Hayward,Contra Costa County,Port Costa
1689,97773,zip,94567; CA; Napa; Napa County; Pope Valley,94567,CA,Napa,Napa County,Pope Valley
1692,97770,zip,94564; CA; San Francisco-Oakland-Hayward; Contra Costa County; Pinole,94564,CA,San Francisco-Oakland-Hayward,Contra Costa County,Pinole
1694,97769,zip,94563; CA; San Francisco-Oakland-Hayward; Contra Costa County; Orinda,94563,CA,San Francisco-Oakland-Hayward,Contra Costa County,Orinda
1695,97767,zip,94561; CA; San Francisco-Oakland-Hayward; Contra Costa County; Oakley,94561,CA,San Francisco-Oakland-Hayward,Contra Costa County,Oakley
1696,97766,zip,94560; CA; San Francisco-Oakland-Hayward; Alameda County; Newark,94560,CA,San Francisco-Oakland-Hayward,Alameda County,Newark
1697,97765,zip,94559; CA; Napa; Napa County,94559,CA,Napa,Napa County,
1698,97764,zip,94558; CA; Napa; Napa County,94558,CA,Napa,Napa County,
1699,97762,zip,94556; CA; San Francisco-Oakland-Hayward; Contra Costa County; Moraga,94556,CA,San Francisco-Oakland-Hayward,Contra Costa County,Moraga
1702,97759,zip,94552; CA; San Francisco-Oakland-Hayward; Alameda County; Castro Valley,94552,CA,San Francisco-Oakland-Hayward,Alameda County,Castro Valley
1706,97755,zip,94548; CA; San Francisco-Oakland-Hayward; Contra Costa County; Oakley,94548,CA,San Francisco-Oakland-Hayward,Contra Costa County,Oakley
1707,97754,zip,94547; CA; San Francisco-Oakland-Hayward; Contra Costa County; Hercules,94547,CA,San Francisco-Oakland-Hayward,Contra Costa County,Hercules
1709,97752,zip,94545; CA; San Francisco-Oakland-Hayward; Alameda County; Hayward,94545,CA,San Francisco-Oakland-Hayward,Alameda County,Hayward
1712,97749,zip,94542; CA; San Francisco-Oakland-Hayward; Alameda County; Hayward,94542,CA,San Francisco-Oakland-Hayward,Alameda County,Hayward
1717,97742,zip,94535; CA; Vallejo-Fairfield; Solano County; Fairfield,94535,CA,Vallejo-Fairfield,Solano County,Fairfield
1718,97741,zip,94534; CA; Vallejo-Fairfield; Solano County; Fairfield,94534,CA,Vallejo-Fairfield,Solano County,Fairfield
1719,97740,zip,94533; CA; Vallejo-Fairfield; Solano County; Fairfield,94533,CA,Vallejo-Fairfield,Solano County,Fairfield
1721,97738,zip,94530; CA; San Francisco-Oakland-Hayward; Contra Costa County; El Cerrito,94530,CA,San Francisco-Oakland-Hayward,Contra Costa County,El Cerrito
1722,97736,zip,94528; CA; San Francisco-Oakland-Hayward; Contra Costa County; Diablo,94528,CA,San Francisco-Oakland-Hayward,Contra Costa County,Diablo
1724,97733,zip,94525; CA; San Francisco-Oakland-Hayward; Contra Costa County; Crockett,94525,CA,San Francisco-Oakland-Hayward,Contra Costa County,Crockett
1729,97727,zip,94519; CA; San Francisco-Oakland-Hayward; Contra Costa County; Concord,94519,CA,San Francisco-Oakland-Hayward,Contra Costa County,Concord
1730,97726,zip,94518; CA; San Francisco-Oakland-Hayward; Contra Costa County; Concord,94518,CA,San Francisco-Oakland-Hayward,Contra Costa County,Concord
1731,97725,zip,94517; CA; San Francisco-Oakland-Hayward; Contra Costa County; Clayton,94517,CA,San Francisco-Oakland-Hayward,Contra Costa County,Clayton
1732,97724,zip,94516; CA; San Francisco-Oakland-Hayward; Contra Costa County; Canyon,94516,CA,San Francisco-Oakland-Hayward,Contra Costa County,Canyon
1733,97723,zip,94515; CA; Napa; Napa County; Calistoga,94515,CA,Napa,Napa County,Calistoga
1734,97722,zip,94514; CA; San Francisco-Oakland-Hayward; Contra Costa County; Byron,94514,CA,San Francisco-Oakland-Hayward,Contra Costa County,Byron
1736,97720,zip,94512; CA; Vallejo-Fairfield; Solano County; Birds Landing,94512,CA,Vallejo-Fairfield,Solano County,Birds Landing
1737,97719,zip,94511; CA; San Francisco-Oakland-Hayward; Contra Costa County; Bethel Island,94511,CA,San Francisco-Oakland-Hayward,Contra Costa County,Bethel Island
1738,97718,zip,94510; CA; Vallejo-Fairfield; Solano County; Benicia,94510,CA,Vallejo-Fairfield,Solano County,Benicia
1740,97716,zip,94508; CA; Napa; Napa County; Angwin,94508,CA,Napa,Napa County,Angwin
1741,97715,zip,94507; CA; San Francisco-Oakland-Hayward; Contra Costa County; Alamo,94507,CA,San Francisco-Oakland-Hayward,Contra Costa County,Alamo
1743,97713,zip,94503; CA; Napa; Napa County; American Canyon,94503,CA,Napa,Napa County,American Canyon
1744,97712,zip,94502; CA; San Francisco-Oakland-Hayward; Alameda County; Alameda,94502,CA,San Francisco-Oakland-Hayward,Alameda County,Alameda
1749,97701,zip,94401; CA; San Francisco-Oakland-Hayward; San Mateo County; San Mateo,94401,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo
1753,97695,zip,94305; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Stanford,94305,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Stanford
1754,97694,zip,94304; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Palo Alto,94304,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto
1756,97691,zip,94301; CA; San Jose-Sunnyvale-Santa Clara; Santa Clara County; Palo Alto,94301,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto
1764,97610,zip,94158; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94158,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1767,97588,zip,94134; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94134,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1771,97583,zip,94129; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94129,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1772,97581,zip,94127; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94127,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1773,97578,zip,94124; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94124,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1783,97566,zip,94111; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94111,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1790,97559,zip,94104; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94104,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
1792,97557,zip,94102; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco,94102,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco
